id,padding_mode,out_classes,criterion,optimizer,augment_transform,num_augments,binarizer_lr,batch_size,failed
34,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.2, 'weight_decay': 1e-06}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,True
1,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.4, 'weight_decay': 0.0001}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
2,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.3, 'weight_decay': 0.0001}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
3,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.25, 'weight_decay': 0.0001}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
4,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.2, 'weight_decay': 0.0001}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
5,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.1, 'weight_decay': 0.0001}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
6,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.5, 'weight_decay': 1e-05}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
7,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.4, 'weight_decay': 1e-05}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
8,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.3, 'weight_decay': 1e-05}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
9,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.25, 'weight_decay': 1e-05}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
10,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.2, 'weight_decay': 1e-05}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
11,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.1, 'weight_decay': 1e-05}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
12,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.5, 'weight_decay': 1e-06}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
13,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.4, 'weight_decay': 1e-06}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
14,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.3, 'weight_decay': 1e-06}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
15,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.25, 'weight_decay': 1e-06}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
16,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.2, 'weight_decay': 1e-06}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
17,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.1, 'weight_decay': 1e-06}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.1,2,False
18,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.5, 'weight_decay': 0.0001}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
19,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.4, 'weight_decay': 0.0001}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
20,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.3, 'weight_decay': 0.0001}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
21,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.25, 'weight_decay': 0.0001}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
22,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.2, 'weight_decay': 0.0001}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
23,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.1, 'weight_decay': 0.0001}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
24,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.5, 'weight_decay': 1e-05}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
25,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.4, 'weight_decay': 1e-05}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
26,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.3, 'weight_decay': 1e-05}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
27,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.25, 'weight_decay': 1e-05}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
28,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.2, 'weight_decay': 1e-05}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
29,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.1, 'weight_decay': 1e-05}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
30,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.5, 'weight_decay': 1e-06}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
31,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.4, 'weight_decay': 1e-06}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
32,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.3, 'weight_decay': 1e-06}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
33,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.25, 'weight_decay': 1e-06}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
34,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.2, 'weight_decay': 1e-06}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
35,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.1, 'weight_decay': 1e-06}","{'rotate': True, 'mirror': True, 'translate': False, 'pad': 0}",100,0.1,2,False
