,ds_0_train,ds_0_validate,ds_1_train,ds_1_validate,combined_train,combined_validate
0,0.652643779007741,0.6061651347971067,0.642752322409433,0.5234300653204258,0.647698050708587,0.5647976000587662
1,0.5676638164128747,0.9331533383368413,0.5495393807365929,0.7500316375036001,0.5586015985747338,0.8415924879202208
2,0.45883650850863944,0.7488562437137227,0.4317192235386813,0.8331965790553526,0.4452778660236604,0.7910264113845377
3,0.376547230075866,0.9308921000367893,0.3571288682235292,0.8793048447731769,0.3668380491496976,0.9050984724049831
4,0.34431985256300945,0.8935919147420239,0.3368033926759523,0.8991287657708833,0.34056162261948086,0.8963603402564536
5,0.33798846502556046,0.930397118053911,0.33248631126200506,0.9025201564936927,0.3352373881437828,0.9164586372738018
6,0.33214102449722993,0.9375667078315697,0.32937075435862373,0.8936497261707401,0.33075588942792683,0.9156082170011549
7,0.3319922985776373,0.9187652025065381,0.3307662000021594,0.9149078416811439,0.33137924928989837,0.916836522093841
8,0.3284526500747006,0.9219883802455742,0.3285119999108076,0.9189341180510335,0.3284823249927541,0.9204612491483039
9,0.3272617983311932,0.93341166717343,0.3285661102579439,0.9217284300175064,0.32791395429456854,0.9275700485954682
