,ds_0_train,ds_0_validate,ds_1_train,ds_1_validate,combined_train,combined_validate
0,0.6012891578461903,0.970005281150212,0.6128700568439086,0.9366198919100679,0.6070796073450495,0.95331258653014
1,0.5219417091232742,0.9700132000336656,0.5017361004085985,0.9386145925044498,0.5118389047659364,0.9543138962690577
2,0.40016944253590336,0.9700132000336656,0.37807944177482683,0.9386145925044498,0.3891244421553651,0.9543138962690577
3,0.3225246042371168,0.9700132000336656,0.3134807416940191,0.9386145925044498,0.31800267296556795,0.9543138962690577
4,0.3041427387434794,0.9700132000336656,0.3006432031385458,0.9386145925044498,0.3023929709410126,0.9543138962690577
5,0.3016930923488957,0.9700132000336656,0.29762270462890683,0.9386145925044498,0.29965789848890123,0.9543138962690577
6,0.300015077846686,0.9700132000336656,0.2978321713767883,0.9386145925044498,0.29892362461173716,0.9543138962690577
7,0.2985725791595314,0.9700132000336656,0.29745753945113906,0.9386145925044498,0.29801505930533523,0.9543138962690577
8,0.300727166516387,0.9700132000336656,0.29750229709020176,0.9386145925044498,0.2991147318032944,0.9543138962690577
9,0.30067643895604307,0.9700132000336656,0.29815194549198054,0.9386145925044498,0.2994141922240118,0.9543138962690577
