ds_0_train,ds_0_validate,ds_1_train,ds_1_validate,combined_train,combined_validate
0.6139782035350799,0.07649574428796768,0.0,0.0,0.30698910176753996,0.03824787214398384
0.4281627629200617,0.19143426418304443,0.0,0.0,0.21408138146003086,0.09571713209152222
0.3508952381213506,0.27110470831394196,0.0,0.0,0.1754476190606753,0.13555235415697098
0.33499528845151266,0.46723024050394696,0.0,0.0,0.16749764422575633,0.23361512025197348
0.32686244130134584,0.534180611371994,0.0,0.0,0.16343122065067292,0.267090305685997
0.32448160092035927,0.5804126063982645,0.0,0.0,0.16224080046017963,0.29020630319913227
0.3236828058958054,0.4684791962305705,0.0,0.0,0.1618414029479027,0.23423959811528525
0.3219750581185023,0.5228269398212433,0.0,0.0,0.16098752905925115,0.26141346991062164
0.32100517114003496,0.5606372356414795,0.0,0.0,0.16050258557001748,0.28031861782073975
0.3203972750902176,0.5324084758758545,0.0,0.0,0.1601986375451088,0.26620423793792725
0.3199988496303558,0.529316375652949,0.0,0.0,0.1599994248151779,0.2646581878264745
0.31990363279978434,0.5281147162119547,0.0,0.0,0.15995181639989217,0.26405735810597736
