ds_0_train,ds_0_validate,ds_1_train,ds_1_validate,combined_train,combined_validate
0.5668141728639603,0.0569403904179732,0.0,0.0,0.28340708643198015,0.0284701952089866
0.42554446280002595,0.21520768851041794,0.0,0.0,0.21277223140001297,0.10760384425520897
0.3715766370296478,0.26249699915448826,0.0,0.0,0.1857883185148239,0.13124849957724413
0.3495830808083216,0.4312816994885604,0.0,0.0,0.1747915404041608,0.2156408497442802
0.3376549371083577,0.42071133479475975,0.0,0.0,0.16882746855417885,0.21035566739737988
0.3328042803208033,0.4050628462185462,0.0,0.0,0.16640214016040164,0.2025314231092731
0.3281985241174698,0.5928963621457418,0.0,0.0,0.1640992620587349,0.2964481810728709
0.3242368441820145,0.5931669076283773,0.0,0.0,0.16211842209100724,0.29658345381418866
0.3219562284151713,0.5494510134061178,0.0,0.0,0.16097811420758565,0.2747255067030589
0.32099335273106894,0.5919373432795206,0.0,0.0,0.16049667636553447,0.2959686716397603
0.3192315471172333,0.5861447056134542,0.0,0.0,0.15961577355861664,0.2930723528067271
0.3191090955336888,0.5955506563186646,0.0,0.0,0.1595545477668444,0.2977753281593323
