mode,test_fold,param_id,report_id,iou_1,iou_2,iou_comb,failed
validate,0,0,0,,,,False
test,0,0,1,0.6431811690330506,0.6552517175674438,0.6492164433002472,False
validate,1,0,2,,,,False
validate,1,0,3,,,,False
validate,1,0,4,,,,False
test,1,0,5,0.411322695016861,0.6696509599685669,0.5404868274927139,False
validate,2,0,6,,,,False
validate,2,0,7,,,,False
validate,2,0,8,,,,False
test,2,0,9,0.7888408720493316,0.6331434965133667,0.7109921842813491,False
validate,3,0,10,,,,False
validate,3,0,11,,,,False
validate,3,0,12,,,,False
test,3,0,13,0.5704623639583588,0.6413446545600892,0.605903509259224,False
final,-1,0,14,0.6034517750144005,0.6498477071523666,0.6266497410833836,False
