id,padding_mode,out_classes,criterion,optimizer,augment_transform,num_augments,binarizer_lr,batch_size
0,reflect,2,CrossEntropyLoss(),"{'type': 'asgd', 'lr_factor': 0.5, 'weight_decay': 0}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.05,3
0,reflect,2,CrossEntropyLoss(),"{'type': 'adam', 'lr_factor': 0.75, 'weight_decay': 0}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.05,3
0,reflect,2,CrossEntropyLoss(),"{'type': 'asgd', 'lr_factor': 1.25, 'weight_decay': 1e-05}","{'rotate': False, 'mirror': False, 'translate': False, 'pad': 0}",100,0.05,3
