optim,exp,ds0_0,ds0_1,ds0_2,ds0_3,ds0_avg,ds1_0,ds1_1,ds1_2,ds1_3,ds1_avg,avg
RMSprop,1,0.48785059452056884,0.6102173149585723,0.6217300593852997,0.5554433286190033,0.5688103243708611,0.6564228057861328,0.6950056731700898,0.5627136349678039,0.604630571603775,0.6296931713819504,0.5992517478764057
RMSprop,2,0.5014400273561478,0.5272890836000442,0.5694612801074982,0.5788234114646912,0.5442534506320953,0.6240000605583191,0.6857887208461761,0.5647081673145294,0.5220061033964157,0.5991257630288601,0.5716896068304778
RMSprop,3,0.6431811690330506,0.411322695016861,0.7888408720493316,0.5704623639583588,0.6034517750144005,0.6552517175674438,0.6696509599685669,0.6331434965133667,0.6413446545600892,0.6498477071523666,0.6266497410833836
RMSprop,4,0.5551986277103425,0.6177448242902756,0.7655929088592529,0.6050461947917938,0.6358956389129162,0.5834761083126068,0.6613693356513977,0.631773030757904,0.6374226391315461,0.6285102784633636,0.6322029586881399
Adam,1,0.618852972984314,0.44030903577804564,0.6914731144905091,0.7055417478084565,0.6140442177653314,0.6642105460166932,0.6701541721820832,0.6200360476970672,0.6525804340839386,0.6517452999949456,0.6328947588801385
Adam,2,0.6392635703086853,0.6777083039283752,0.5695041954517365,0.6107467770576477,0.6243057116866112,0.6587266862392426,0.6871329486370087,0.5880041718482971,0.5885254740715027,0.6305973201990127,0.627451515942812
Adam,3,0.5319931387901307,0.23863722383975977,0.649439948797226,0.5381136059761047,0.4895459793508053,0.6467232644557953,0.4020950675010681,0.5832198083400726,0.6633534610271454,0.5738479003310204,0.5316969398409128
Adam,4,0.6339220345020294,0.5089131325483323,0.7566395223140716,0.5582802772521973,0.6144387416541577,0.5793677628040313,0.5648714959621429,0.5568327814340591,0.6335707187652588,0.583660689741373,0.5990497156977653
